,,Author,"Author Description",Date,Rating,"Helpful count",Review,"Picture included",Language,"Message Original","Language code","Reviewer Data","Profile Url","Review Url",Photos
1,,"Kamal Shilpa",,"2025-02-11 09:50:03",5,0,"nice sentence",no,en_US,,,,,,
2,,"Hanifa Amalia",,"2025-02-11 09:50:56",5,0,"very nice",no,en_US,,,,,,
3,,Jondyz,,"2025-02-11 09:51:22",3,32,"They've been focusing more on the dopamine provoking side than actually learning something. It's not a bad experience, but not sustainable in the long run. Learning languages by using them is still the best thing you can do.",no,en_US,,,,,,
4,,"Naomi Powers",,"2025-02-11 09:51:51",5,1,lovely,no,en_US,,,,,,
5,,"Suresh Kumar",,"2025-02-11 09:51:53",5,2,"this game so so good because he is my studyer partner perfectly❤️❤️❤️❤️❤️😚😁😊😊😊",no,en_US,,,,,,
6,,"Hana Sheikh",,"2025-02-11 09:51:54",5,2,"The best. Please be free all the time 🥹🤍",no,en_US,,,,,,
7,,Liam,,"2025-02-11 09:51:57",5,31,"Dont let the green bird kill you",no,en_US,,,,,,
8,,"Sadullah Rasikh",,"2025-02-11 09:55:42",5,1,"Love this one App",no,en_US,,,,,,
9,,"Hannah Kerr",,"2025-02-11 09:56:09",5,1,"absolutely love it!!! great app",no,en_US,,,,,,
10,,"Craig Dobson",,"2025-02-11 09:56:26",5,1,👌🏻,no,en_US,,,,,,
11,,"Jaden Chiong Wei Jun",,"2025-02-11 09:57:43",5,10,"Duolingo forced me to give him a five stars rating",no,en_US,,,,,,
12,,"Manju Gautam",,"2025-02-11 09:59:13",4,2,"Good for well up english language",no,en_US,,,,,,
13,,"Sandeep Kumar",,"2025-02-11 10:00:02",5,2,"Duolingo is the best",no,en_US,,,,,,
14,,"Abdullah Niyas",,"2025-02-11 10:01:43",5,2,"the best learning app I ever seen , because it has a speed data and no ads can be seen",no,en_US,,,,,,
15,,"Jean Lewis",,"2025-02-11 10:06:05",5,2,"Great Ap, easy to use and easy learning.",no,en_US,,,,,,
16,,"Joel Diaz",,"2025-02-11 10:06:58",4,2,"I love this app but I wish the refill heart was 200 instead of 450",no,en_US,,,,,,
17,,"Rafael Agustin",,"2025-02-11 10:07:14",5,3,"it does really help me learn french 🇨🇵✨😗😀✌️✨✨",no,en_US,,,,,,
18,,"Abdullahi Mohamed",,"2025-02-11 10:08:52",5,1,"very good",no,en_US,,,,,,
19,,"roisin hogan",,"2025-02-11 10:09:26",5,3,"Highly recommend. this app will not make you fluent but O have perfected my Orosh grammar and I am learning hundreds of new words and where they are placed in a sentence. it is a very game like form of learning. you can compete against others users. I bought a monthly subscription offer for over €5. Well worth it.",no,en_US,,,,,,
20,,"Edduard del Castillo",,"2025-02-11 10:09:45",5,1,"ilove it in fact I have learned so many words",no,en_US,,,,,,
21,,Bram,,"2025-02-11 10:10:43",5,1,"fun app",no,en_US,,,,,,
22,,"Ismet “BorG” Mujezinovic",,"2025-02-11 10:11:47",5,2,awesome,no,en_US,,,,,,
23,,"Anurag Tiwari",,"2025-02-11 10:11:56",2,4,"jo chahiye wo nhi mil rha h",no,en_US,,,,,,
24,,"Nadim Hossain",,"2025-02-11 10:12:09",5,0,"onek valo",no,en_US,,,,,,
25,,"Jitendra Shukla",,"2025-02-11 10:12:34",5,2,"Duolingo is very nice 🙂 👍",no,en_US,,,,,,
26,,"Mila Heronimo",,"2025-02-11 10:13:37",5,2,"it a nice way to lear i love it",no,en_US,,,,,,
27,,"Afina Liyana",,"2025-02-11 10:13:43",5,2,"I like it because so fun",no,en_US,,,,,,
28,,"Riya Sky",,"2025-02-11 10:14:18",5,2,superb,no,en_US,,,,,,
29,,"Letício John",,"2025-02-11 10:15:52",4,1,"É um bom app",no,en_US,,,,,,
30,,"Ramalakshmi Lakshmi",,"2025-02-11 10:16:12",5,2,"iam really enjoying this",no,en_US,,,,,,
31,,"Byuti Pal",,"2025-02-11 10:16:45",5,2,"very nice",no,en_US,,,,,,
32,,"Kagolla Ribuka",,"2025-02-11 10:19:47",5,2,"verry good",no,en_US,,,,,,
33,,"Mohamed Elhabback",,"2025-02-11 10:20:07",5,2,perfect,no,en_US,,,,,,
34,,"A Google user",,"2025-02-11 10:21:47",5,4,"W learning app I learned Spanish because of this.. Better than anything.",no,en_US,,,,,,
35,,"Tapan Deka Tapan Deka",,"2025-02-11 10:22:56",5,1,"This duoilgo app is very good for me",no,en_US,,,,,,
36,,"Alex Sidaway",,"2025-02-11 10:25:39",5,1,"great source of language learning, taught me more in one month than my grammar school in five months!",no,en_US,,,,,,
37,,"Akash Pal",,"2025-02-11 10:26:59",5,2,"very useful. I am very happy 😊",no,en_US,,,,,,
38,,"Zimal Fatima",,"2025-02-11 10:27:45",1,13,"Worst app of all time I give gift to Duolingo it is copy right and please remove this",no,en_US,,,,,,
39,,"Mosim Sisodiya",,"2025-02-11 10:28:54",5,1,"this app is very best realy",no,en_US,,,,,,
40,,"Tikoura Bobb",,"2025-02-11 10:30:58",5,0,good,no,en_US,,,,,,
41,,"Zerahiah Cruz",,"2025-02-11 10:31:11",5,2,"it's really fun and exciting",no,en_US,,,,,,
42,,"Priscilla van Niekerk",,"2025-02-11 10:31:36",5,2,"Amazing app, very educational and informative",no,en_US,,,,,,
43,,"Ritadj Srm",,"2025-02-11 10:33:31",5,1,"asombroso 🥹",no,en_US,,,,,,
44,,"Mahabub kalam Mustakim",,"2025-02-11 10:35:01",3,5,"this app is great but too much add after i finish single lesson add come",no,en_US,,,,,,
45,,"Susmita Tamang",,"2025-02-11 10:35:30",4,3,"Very Helpful",no,en_US,,,,,,
46,,"Muhamed Vasha",,"2025-02-11 10:38:37",5,2,"Awesome app",no,en_US,,,,,,
47,,"M Namuun",,"2025-02-11 10:42:12",5,2,"so good",no,en_US,,,,,,
48,,"Shahid Plyi stor",,"2025-02-11 10:42:36",5,2,"awesome 👍 great full best ever excellent",no,en_US,,,,,,
49,,"Искандер Бекбаев",,"2025-02-11 10:46:07",5,0,"Я выучил французский и стал напалионом",no,en_US,,,,,,
50,,RushhシXD,,"2025-02-11 10:46:32",5,4,"I love this app,I'm learning korean perfectly and it's cute and funny❤️",no,en_US,,,,,,
51,,"Narayan Singh",,"2025-02-11 10:47:31",5,2,"Good app",no,en_US,,,,,,
52,,"Aaron Cuaresma",,"2025-02-11 10:48:58",5,2,"Nice and fun app easiy to learn any languages",no,en_US,,,,,,
